Task Type,Task Name,Task Category,Dependencies,Priority,Time Anchor (drop down)
Task,"Gather dietary restrictions, service style & cuisine preferences from questionnaire",Research Catering Companies,,NORMAL,43 Weeks Out
Task,Request sample menus & per-person pricing,Research Catering Companies,,NORMAL,42 Weeks Out
Task,"Compare staffing numbers, uniform, plateware, rentals, service style",Research Catering Companies,,NORMAL,42 Weeks Out
Task,Schedule tasting & collect client feedback,Research Catering Companies,,NORMAL,41 Weeks Out
Task,Find out what is included with set up and breakdown,Research Catering Companies,,NORMAL,
Category,Book Rentals,,Research/source rentals and design,HIGH,44 Weeks Out
Task,Negotiate Rentals Contract,Book Rentals,,NORMAL,44 Weeks Out
Task,Review rental agreement & damage waiver,Book Rentals,,NORMAL,44 Weeks Out
Category,Couple Tasks - 11 Months Out,,Book Rentals,NORMAL,44 Weeks Out
Task,Input rentals info into Canva doc,Couple Tasks - 11 Months Out,,NORMAL,43 Weeks Out
Task,Put payment dates into calendar (rentals),Couple Tasks - 11 Months Out,,NORMAL,43 Weeks Out
Category,Book Florist,,Research Florals,HIGH,43 Weeks Out
Task,"Confirm rentals (arches, vessels, candles) via floral company",Book Florist,,NORMAL,36 Weeks Out
Task,Approve sample centerpiece or bouquet trial (if requested),Book Florist,,NORMAL,36 Weeks Out
Task,send contract & confirm deposit,Book Florist,,NORMAL,43 Weeks Out
Task,Input florist info into Canva doc,Book Florist,,NORMAL,42 Weeks Out
Task,Put payment dates into calendar (florist),Book Florist,,NORMAL,42 Weeks Out
Category,Book Catering,,Research Catering Companies,HIGH,42 Weeks Out
Task,"Review contract terms: service charge, gratuity, taxes",Book Catering,,NORMAL,42 Weeks Out
Task,Secure COI & health permit copies,Book Catering,,NORMAL,42 Weeks Out
Task,"Coordinate rentals (china, glassware, flatware) crossover",Book Catering,,NORMAL,36 Weeks Out
Task,Input catering info into Canva doc,Book Catering,,NORMAL,41 Weeks Out
Task,Put payment dates into calendar (catering),Book Catering,,NORMAL,41 Weeks Out
Category,Research Alcohol Vendors,,,NORMAL,41 Weeks Out
Task,Verify venue liquor license or BYO policy,Research Alcohol Vendors,,NORMAL,41 Weeks Out
Task,Decide hosted vs. cash vs. consumption bar with couple,Research Alcohol Vendors,,NORMAL,41 Weeks Out
Task,Source mobile bartenders & beverage caterers,Research Alcohol Vendors,,NORMAL,40 Weeks Out
Task,Estimate case counts using consumption calculator,Research Alcohol Vendors,,NORMAL,40 Weeks Out
Task,Confirm liability insurance & ABC permits,Research Alcohol Vendors,,NORMAL,40 Weeks Out
Task,Finalize design deck,,,NORMAL,40 Weeks Out
Category,Book Alcohol Vendor,,Research Alcohol Vendors,NORMAL,40 Weeks Out
Task,"Request package pricing (beer/wine, full bar, specialty cocktails)",Book Alcohol Vendor,,NORMAL,40 Weeks Out
Task,send contract & confirm deposit,Book Alcohol Vendor,,NORMAL,40 Weeks Out
Category,Research Guest Accommodations,,,NORMAL,40 Weeks Out
Task,Research hotels within 15 minutes of venue,"Research Guest Accommodations (Hotels, etc.)",,NORMAL,40 Weeks Out
Task,Request courtesy vs. contract block rates & attrition terms,"Research Guest Accommodations (Hotels, etc.)",,NORMAL,40 Weeks Out
Task,"Compare amenities, shuttle options, welcome-bag policies","Research Guest Accommodations (Hotels, etc.)",,NORMAL,40 Weeks Out
Task,Present block options & booking links to couple,"Research Guest Accommodations (Hotels, etc.)",,NORMAL,40 Weeks Out
Category,Couple Tasks - 10 Months Out,,Couple Tasks - 11 Months Out,NORMAL,40 Weeks Out
Couple Tasks,Gather Guest Addresses,Couple Tasks - 10 Months Out,,NORMAL,40 Weeks Out
Couple Tasks,Start Registry,Couple Tasks - 10 Months Out,,NORMAL,40 Weeks Out
Couple Tasks,Set up RSVP system (wedding website),Couple Tasks - 10 Months Out,,NORMAL,40 Weeks Out
Task,create QR code for save-the-dates and invitations if requested by couple,Couple Tasks - 10 Months Out,,NORMAL,
Task,Finalize Save the Dates Design,Couple Tasks - 10 Months Out,,NORMAL,40 Weeks Out
Category,"Book Guest Accommodations (Hotels, etc.)",,"Research Guest Accommodations (Hotels, etc.)",NORMAL,36 Weeks Out
Task,Secure signed agreement for selected hotel(s),"Book Guest Accommodations (Hotels, etc.)",,NORMAL,36 Weeks Out
Task,Negotiate Book Guest Accommodations Contracts,"Book Guest Accommodations (Hotels, etc.)",,NORMAL,38 Weeks Out
Task,Confirm rooming list deadline & attrition reminders,"Book Guest Accommodations (Hotels, etc.)",,NORMAL,36 Weeks Out
Category,Research Hair & Makeup Artists,,,NORMAL,37 Weeks Out
Task,Collect inspo photos & preferred glam level,Research Hair & Makeup Artists,,NORMAL,37 Weeks Out
Task,"Source HMU teams, request pricing sheets, package inclusions, verify minimums & travel fees",Research Hair & Makeup Artists,,NORMAL,36 Weeks Out
Task,Check getting-ready location lighting & space requirements,Research Hair & Makeup Artists,,NORMAL,36 Weeks Out
Task,Schedule trial sessions; add dates to calendar,Research Hair & Makeup Artists,,NORMAL,30 Weeks Out
Category,Book Hair & Makeup Artists,,Research Hair & Makeup Artists,NORMAL,36 Weeks Out
Task,send contract & confirm deposit,Book Hair & Makeup Artists,,NORMAL,36 Weeks Out
Task,Gather preliminary timeline to share with bridal party,Book Hair & Makeup Artists,,NORMAL,
Category,Research Wedding Party Attire,,,NORMAL,36 Weeks Out
Task,Review color palette & formality guidelines,Research Wedding Party Attire,,NORMAL,44 Weeks Out
Task,Research designers/shops within budget,Research Wedding Party Attire,,NORMAL,36 Weeks Out
Task,Schedule shopping appointments; share inspiration board,Research Wedding Party Attire,,NORMAL,36 Weeks Out
Task,Confirm group discount codes or rental options,Research Wedding Party Attire,,NORMAL,36 Weeks Out
Category,Couple Tasks -  9 Months Out,,Couple Tasks - 10 Months Out,NORMAL,36 Weeks Out
Couple Tasks,Wrap up Dress Shopping,Couple Tasks -  9 Months Out,,NORMAL,36 Weeks Out
Couple Tasks,Finalize Guest List,Couple Tasks -  9 Months Out,,NORMAL,36 Weeks Out
Task,Finalize Wedding Website and Registry,Couple Tasks -  9 Months Out,,NORMAL,36 Weeks Out
Task,Schedule Catering Tastings (confirm choices),Couple Tasks -  9 Months Out,,NORMAL,36 Weeks Out
Category,Book Wedding Party Attire,,,NORMAL,35 Weeks Out
Task,Coordinate deposit payments & order confirmations,Book Wedding Party Attire,,NORMAL,34 Weeks Out
Task,Log alteration timelines & pick-up dates,Book Wedding Party Attire,,NORMAL,20 Weeks Out
Category,Research Dessert Providers,,,NORMAL,33 Weeks Out
Task,"Determine dessert style (tiered cake, dessert bar, both)",Research Dessert Providers,,NORMAL,33 Weeks Out
Task,Source bakeries & review portfolios + flavor lists,Research Dessert Providers,,NORMAL,33 Weeks Out
Task,Schedule tasting; record couple's top flavors,Research Dessert Providers,,NORMAL,30 Weeks Out
Task,Request quotes including delivery & stand rentals,Research Dessert Providers,,NORMAL,33 Weeks Out
Task,Negotiate Dessert Provider Contract,Research Dessert Providers,,NORMAL,33 Weeks Out
Category,Book Dessert Provider,,,NORMAL,32 Weeks Out
Task,Send contract & confirm deposit,Book Dessert Provider,Research Dessert Providers,NORMAL,32 Weeks Out
Category,Couple Tasks - 8 Months Out,,,NORMAL,32 Weeks Out
Couple Tasks,Send Save the Dates,Couple Tasks - 8 Months Out,Couple Tasks -  9 Months Out,NORMAL,32 Weeks Out
Task,Groom Attire Shopping,Couple Tasks - 8 Months Out,,NORMAL,32 Weeks Out
Task,Premarital Counseling,Couple Tasks - 8 Months Out,,NORMAL,32 Weeks Out
Task,Wrap up Dress Shopping,Couple Tasks - 8 Months Out,,NORMAL,32 Weeks Out
Category,Research Officiant,,,NORMAL,29 Weeks Out
Task,Clarify ceremony style & religious/secular preferences,Research Officiant,,NORMAL,29 Weeks Out
Task,Source licensed officiants or friend-officiant ordination guides,Research Officiant,,NORMAL,29 Weeks Out
Task,Confirm date availability & fee structure,Research Officiant,,NORMAL,29 Weeks Out
Task,Schedule intro call to discuss love story & tone,Research Officiant,,NORMAL,20 Weeks Out
Category,Book Officiant,,Research Officiant,NORMAL,28 Weeks Out
Couple Tasks,Sign agreement & submit deposit,Book Officiant,,NORMAL,29 Weeks Out
Category,Couple Tasks - 7 Months Out,,Couple Tasks - 8 Months Out,NORMAL,28 Weeks Out
Couple Tasks,Dance Lessons,Couple Tasks - 7 Months Out,,NORMAL,28 Weeks Out
Couple Tasks,Wrap up Groom Attire Shopping,Couple Tasks - 7 Months Out,,NORMAL,28 Weeks Out
Couple Tasks,Schedule Hair/Makeup Trial,Couple Tasks - 7 Months Out,,NORMAL,28 Weeks Out
Category,Research Transportation,,,NORMAL,27 Weeks Out
Task,Map route from transportation locations,Research Transportation,,NORMAL,27 Weeks Out
Task,"Collect quotes (shuttles, limo, classic car, get-away vehicle)",Research Transportation,,NORMAL,27 Weeks Out
Task,Verify insurance & driver gratuity policies,Research Transportation,,NORMAL,27 Weeks Out
Category,Book Transportation,,Research Transportation,NORMAL,24 Weeks Out
Task,Negotiate Transportation Contracts,Book Transportation,,NORMAL,26 Weeks Out
Task,Send contract & confirm deposit,Book Transportation,,NORMAL,24 Weeks Out
Category,Couple Tasks - 6 Months Out,,Couple Tasks - 7 Months Out,NORMAL,24 Weeks Out
Couple Tasks,Finalize Groom Attire,Couple Tasks - 6 Months Out,,NORMAL,24 Weeks Out
Couple Tasks,Schedule Cake Tasting,Couple Tasks - 6 Months Out,,NORMAL,24 Weeks Out
Couple Tasks,Decide on Wedding Party Attire,Couple Tasks - 6 Months Out,,NORMAL,24 Weeks Out
Couple Tasks,Finalize Invitation Design,Couple Tasks - 6 Months Out,,NORMAL,24 Weeks Out
Category,Research Specialty Vendors (Secondary),,,NORMAL,26 Weeks Out
Task,Identify unique experience wish-list with couple,Research Specialty Vendors (Secondary),,NORMAL,26 Weeks Out
Task,Research permitting or fire-marshal requirements (if applicable),Research Specialty Vendors (Secondary),,NORMAL,24 Weeks Out
Task,Gather vendor quotes & insurance docs,Research Specialty Vendors (Secondary),,NORMAL,26 Weeks Out
Category,Book Specialty Vendor (Secondary),,Research Specialty Vendors (Secondary),NORMAL,23 Weeks Out
Task,Negotiate Specialty Vendor (Secondary) Contracts,Book Specialty Vendor (Secondary),,NORMAL,23 Weeks Out
Task,Sign contract & submit deposit,Book Specialty Vendor (Secondary),,NORMAL,22 Weeks Out
Category,Research Rehearsal Dinner Locations,,,NORMAL,23 Weeks Out
Task,Confirm host(s) & budget responsibility,Research Rehearsal Dinner Locations,,NORMAL,22 Weeks Out
Task,Secure guest list & invitation timeline,Research Rehearsal Dinner Locations,,NORMAL,36 Weeks Out
Task,Research venues or private rooms near hotel/venue,Research Rehearsal Dinner Locations,,NORMAL,36 Weeks Out
Task,Request prix-fixe menus & bar packages,Research Rehearsal Dinner Locations,,NORMAL,23 Weeks Out
Task,"Compare minimums, AV needs, decor allowances",Research Rehearsal Dinner Locations,,NORMAL,23 Weeks Out
Task,Invitations Sent,,,NORMAL,21 Weeks Out
Category,Couple Tasks - 5 Months Out,,Couple Tasks - 6 Months Out,NORMAL,20 Weeks Out
Couple Tasks,Song List/ Entertainment Portal,Couple Tasks - 5 Months Out,,NORMAL,20 Weeks Out
Couple Tasks,Verify travel documents for honeymoon,Couple Tasks - 5 Months Out,,NORMAL,20 Weeks Out
Couple Tasks,Send Invitations,Couple Tasks - 5 Months Out,,NORMAL,20 Weeks Out
Category,Book Rehearsal Dinner Location,,Research Rehearsal Dinner Locations,NORMAL,20 Weeks Out
Task,Book venue & sign contract,Book Rehearsal Dinner Location,,NORMAL,20 Weeks Out
Task,Design/send rehearsal dinner invitations (paper or digital),Book Rehearsal Dinner Location,,NORMAL,36 Weeks Out
Task,Create seating plan & toast schedule,Book Rehearsal Dinner Location,,NORMAL,20 Weeks Out
Task,"Coordinate decor, favors, slideshow or entertainment needs",Book Rehearsal Dinner Location,,NORMAL,19 Weeks Out
Task,Confirm all Vendors are Booked,,,URGENT,17 Weeks Out
Category,Couple Tasks - 4 Months Out,,Couple Tasks - 5 Months Out,NORMAL,16 Weeks Out
Couple Tasks,Final Vendor Related Meeting,Couple Tasks - 4 Months Out,,NORMAL,
Task,Fill out inventory lists on Canva doc,Couple Tasks - 4 Months Out,,NORMAL,16 Weeks Out
Task,Fill out music on Canva doc,Couple Tasks - 4 Months Out,,NORMAL,
Task,Share Canva Doc w/ Couple,Couple Tasks - 4 Months Out,,NORMAL,17 Weeks Out
Phase,Finalization Misc,,,NORMAL,16 Weeks Out
Task,"Fill Out Canva Doc Timeline, Vendor Details, and Big Picture Logistics",Finalization Misc,,NORMAL,16 Weeks Out
Task,Share final timeline & parking instructions (4 weeks out),Finalization Misc,,NORMAL,4 Weeks Out
Task,Restock emergency kit with all required elements,Finalization Misc,,NORMAL,2 Weeks Out
Task,Print Contracts for Binder,Finalization Misc,,NORMAL,12 Weeks Out
Task,Create Rae & Co. Timeline,Finalization Misc,,HIGH,10 Weeks Out
Task,Confirm Insurance and Permits,Finalization Misc,,NORMAL,4 Weeks Out
Category,Venue finalization tasks,,Book Venue,NORMAL,16 Weeks Out
Task,Schedule final walk-through (30 days out),Venue finalization tasks,,NORMAL,4 Weeks Out
Task,Schedule Ceremony Rehearsal,Venue finalization tasks,,NORMAL,4 Weeks Out
Task,Block vendor parking / load-in notes on floor-plan,Venue finalization tasks,,NORMAL,8 Weeks Out
Task,Schedule Final Meetings or Walkthroughs,Venue finalization tasks,,NORMAL,10 Weeks Out
Task,Confirm Backup Plans and Rain Plan,Venue finalization tasks,,NORMAL,10 Weeks Out
Task,Confirm allowed arrival time,Venue finalization tasks,,NORMAL,1 Week Out
Task,Confirm final payment received,Venue finalization tasks,,NORMAL,
Task,Send Final Headcount,Venue finalization tasks,,NORMAL,
Task,Schedule meeting to go over logistics and timeline,Venue finalization tasks,,NORMAL,
Category,Videographer finalization tasks,,Book Videographer,NORMAL,16 Weeks Out
Task,Verify drone licensing & venue restrictions,Videographer finalization tasks,,NORMAL,16 Weeks Out
Task,"Check audio capture methods (lav mics, recorders)",Videographer finalization tasks,,NORMAL,16 Weeks Out
Task,Coordinate letter-reading or first-look audio capture slots,Videographer finalization tasks,,NORMAL,16 Weeks Out
Task,Schedule timeline review call (60 days out),Videographer finalization tasks,,NORMAL,8 Weeks Out
Task,"Share final timeline, vendor parking, meal count (4 weeks out)",Videographer finalization tasks,,NORMAL,4 Weeks Out
Task,Verify backup storage plan & archival period,Videographer finalization tasks,,NORMAL,16 Weeks Out
Task,Confirm final payment received,Videographer finalization tasks,,NORMAL,
Task,Schedule meeting to go over logistics and timeline,Videographer finalization tasks,,NORMAL,
Task,Confirm arrival time,Videographer finalization tasks,,NORMAL,
Category,Photographer finalization tasks,,Book Photographer,NORMAL,16 Weeks Out
Task,Email photographer final timeline + family shot list (2 weeks out),Photographer finalization tasks,,NORMAL,2 Weeks Out
Task,Confirm final payment received,Photographer finalization tasks,,NORMAL,
Task,Schedule meeting to go over logistics and timeline,Photographer finalization tasks,,NORMAL,
Task,Confirm arrival time,Photographer finalization tasks,,NORMAL,
Category,Specialty Vendor finalization tasks,,Book Specialty Vendors,NORMAL,
Task,Align activation times with reception flow,Specialty Vendor finalization tasks,,NORMAL,16 Weeks Out
Task,Add load-in/out schedule to timeline,Specialty Vendor finalization tasks,,NORMAL,16 Weeks Out
Task,Confirm prop storage & attendant dress code,Specialty Vendor finalization tasks,,NORMAL,16 Weeks Out
Task,Share final guest count for supply planning,Specialty Vendor finalization tasks,,NORMAL,4 Weeks Out
Task,Confirm setup/strike footprint & venue approval,Specialty Vendor finalization tasks,,NORMAL,16 Weeks Out
Task,Add activation cues to master timeline,Specialty Vendor finalization tasks,,NORMAL,16 Weeks Out
Task,Verify weather-contingency or backup plan,Specialty Vendor finalization tasks,,NORMAL,16 Weeks Out
Task,Re-confirm logistics & payment (14 days out),Specialty Vendor finalization tasks,,NORMAL,2 Weeks Out
Task,Confirm final payment received,Specialty Vendor finalization tasks,,NORMAL,
Task,Send Final Headcount,Specialty Vendor finalization tasks,,NORMAL,
Task,Schedule meeting to go over logistics and timeline,Specialty Vendor finalization tasks,,NORMAL,
Task,Confirm arrival time,Specialty Vendor finalization tasks,,NORMAL,
Category,Entertainment finalization tasks,,,NORMAL,
Task,Collect playlist worksheet & pronunciation guide,Entertainment finalization tasks,,NORMAL,16 Weeks Out
Task,Add sound-check time to master timeline,Entertainment finalization tasks,,NORMAL,16 Weeks Out
Task,"Confirm final set lists & special moments (first dance, parent dances)",Entertainment finalization tasks,,NORMAL,16 Weeks Out
Task,Secure back-up playlist for emergencies,Entertainment finalization tasks,,NORMAL,16 Weeks Out
Task,Confirm final payment received,Entertainment finalization tasks,,NORMAL,
Task,Schedule meeting to go over logistics and timeline,Entertainment finalization tasks,,NORMAL,
Task,Confirm arrival time,Entertainment finalization tasks,,NORMAL,
Category,Rentals finalization tasks,,,NORMAL,
Task,Confirm delivery windows with venue restrictions,Rentals finalization tasks,,NORMAL,16 Weeks Out
Task,Finalize quantities after RSVP deadline,Rentals finalization tasks,,NORMAL,8 Weeks Out
Task,Update floor-plan with final selections,Rentals finalization tasks,,NORMAL,16 Weeks Out
Task,Add delivery/pick-up times to timeline,Rentals finalization tasks,,NORMAL,12 Weeks Out
Task,Re-confirm quantities & balance payment (14 days out),Rentals finalization tasks,,NORMAL,2 Weeks Out
Task,Arrange on-site point-of-contact for counts & damages,Rentals finalization tasks,,NORMAL,4 Weeks Out
Task,Confirm final payment received,Rentals finalization tasks,,NORMAL,
Task,Send Final Headcount,Rentals finalization tasks,,NORMAL,
Task,Schedule meeting to go over logistics and timeline,Rentals finalization tasks,,NORMAL,
Task,Confirm arrival time,Rentals finalization tasks,,NORMAL,
Category,Florist finalization tasks,,,NORMAL,
Task,"Provide day-of logistics: load-in route, set-up cut-off, strike time",Florist finalization tasks,,NORMAL,4 Weeks Out
Task,Share final table counts & floor-plan (30 days out),Florist finalization tasks,,NORMAL,4 Weeks Out
Task,Confirm centerpiece repurpose plan (ceremony to reception),Florist finalization tasks,,NORMAL,8 Weeks Out
